"type","id","slug","url_th","url_en","category_slug","name_th","name_en","primary_keyword_th","primary_keyword_en","secondary_terms_th","secondary_terms_en","short_description_status","long_content_status","application_status","faq_count","priority","fields_to_fill","writing_angle_th","writing_angle_en"
"product","774","ball-chain-decorative","https://168innovative.co.th/categories/ball-chain/ball-chain-decorative","https://168innovative.co.th/en/categories/ball-chain/ball-chain-decorative","ball-chain","สายลูกปัด Ball Chain สำหรับบรรจุภัณฑ์เครื่องสำอางและงานตกแต่ง","Ball Chain Decorative Chain for Cosmetic Packaging","สายลูกปัด Ball Chain สำหรับบรรจุภัณฑ์เครื่องสำอางและงานตกแต่ง","Ball Chain Decorative Chain for Cosmetic Packaging","โซ่ลูกปัดและอุปกรณ์เสริม | รับผลิต | OEM | โรงงาน","Ball Chain Accessories | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","747","q20-04","https://168innovative.co.th/categories/dispensing-press-cap/q20-04","https://168innovative.co.th/en/categories/dispensing-press-cap/q20-04","dispensing-press-cap","ฝาปั๊มกด รุ่น Q20-04","Dispensing Press Cap Q20-04 Cosmetic Packaging","ฝาปั๊มกด รุ่น Q20-04","Dispensing Press Cap Q20-04 Cosmetic Packaging","ฝาพลาสติก ฝากด | รับผลิต | OEM | โรงงาน","Dispensing Press Cap | OEM | manufacturer | supplier","filled","missing","missing","0","High","content_th | content_en | application_th | application_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","729","soap-bag-110","https://168innovative.co.th/categories/soap-bag/soap-bag-110","https://168innovative.co.th/en/categories/soap-bag/soap-bag-110","soap-bag","ถุงใส่สบู่ ถุงสบู่สําหรับก้อนสบู่","Soap Saver Bag","ถุงใส่สบู่ ถุงสบู่สําหรับก้อนสบู่","Soap Saver Bag","ถุงสบู่ / ถุงบรรจุภัณฑ์ | รับผลิต | OEM | โรงงาน","Soap Packaging Bag | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","616","spout-md11","https://168innovative.co.th/categories/plastic-handle/spout-md11","https://168innovative.co.th/en/categories/plastic-handle/spout-md11","plastic-handle","จุกพลาสติก MD11 ขนาด ราง PVC (รางนำจุก PVC)","Plastic Spout MD11 ราง PVC (รางนำจุก PVC)","จุกพลาสติก MD11 ขนาด ราง PVC (รางนำจุก PVC)","Plastic Spout MD11 ราง PVC (รางนำจุก PVC)","ที่จับพลาสติก | รับผลิต | OEM | โรงงาน","Plastic Handle | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","615","spout-sm45","https://168innovative.co.th/categories/spout/spout-sm45","https://168innovative.co.th/en/categories/spout/spout-sm45","spout","จุกพลาสติก SM45 ขนาด 16.0mm HDPE/HDPP (ฝาพับ (Flip Cap))","Plastic Spout SM45 16.0mm HDPE/HDPP (ฝาพับ (Flip Cap))","จุกพลาสติก SM45 ขนาด 16.0mm HDPE/HDPP (ฝาพับ (Flip Cap))","Plastic Spout SM45 16.0mm HDPE/HDPP (ฝาพับ (Flip Cap))","จุกซอง | รับผลิต | OEM | โรงงาน","Spout Caps | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","614","spout-sm70","https://168innovative.co.th/categories/spout/spout-sm70","https://168innovative.co.th/en/categories/spout/spout-sm70","spout","จุกพลาสติก SM70 ขนาด 10.0mm HDPE (ฝาพับ (Flip Cap))","Plastic Spout SM70 10.0mm HDPE (ฝาพับ (Flip Cap))","จุกพลาสติก SM70 ขนาด 10.0mm HDPE (ฝาพับ (Flip Cap))","Plastic Spout SM70 10.0mm HDPE (ฝาพับ (Flip Cap))","จุกซอง | รับผลิต | OEM | โรงงาน","Spout Caps | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","613","spout-sm68","https://168innovative.co.th/categories/spout/spout-sm68","https://168innovative.co.th/en/categories/spout/spout-sm68","spout","จุกพลาสติก SM68 ขนาด 8.6mm HDPE (ฝาพับ (Flip Cap))","Plastic Spout SM68 8.6mm HDPE (ฝาพับ (Flip Cap))","จุกพลาสติก SM68 ขนาด 8.6mm HDPE (ฝาพับ (Flip Cap))","Plastic Spout SM68 8.6mm HDPE (ฝาพับ (Flip Cap))","จุกซอง | รับผลิต | OEM | โรงงาน","Spout Caps | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","611","spout-sm38-1","https://168innovative.co.th/categories/plastic-handle/spout-sm38-1","https://168innovative.co.th/en/categories/plastic-handle/spout-sm38-1","plastic-handle","จุกพลาสติก SM38-1 ขนาด หูหิ้ว HDPP (หูหิ้วซอง REACH/FDA)","Plastic Spout SM38-1 หูหิ้ว HDPP","จุกพลาสติก SM38-1 ขนาด หูหิ้ว HDPP (หูหิ้วซอง REACH/FDA)","Plastic Spout SM38-1 หูหิ้ว HDPP","ที่จับพลาสติก | รับผลิต | OEM | โรงงาน","Plastic Handle | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","609","spout-sm58-pp","https://168innovative.co.th/categories/spout/spout-sm58-pp","https://168innovative.co.th/en/categories/spout/spout-sm58-pp","spout","จุกพลาสติก SM58-PP ขนาด 8.6mm HDPE (ฝาใหญ่ลายเส้น ทนความร้อนสูง)","Plastic Spout SM58-PP 8.6mm HDPE (ฝาใหญ่ลายเส้น ทนความร้อนสูง)","จุกพลาสติก SM58-PP ขนาด 8.6mm HDPE (ฝาใหญ่ลายเส้น ทนความร้อนสูง)","Plastic Spout SM58-PP 8.6mm HDPE (ฝาใหญ่ลายเส้น ทนความร้อนสูง)","จุกซอง | รับผลิต | OEM | โรงงาน","Spout Caps | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
"product","608","spout-sm18-pp","https://168innovative.co.th/categories/spout/spout-sm18-pp","https://168innovative.co.th/en/categories/spout/spout-sm18-pp","spout","ฝาจุกติดซองพลาสติก SM18-PP ขนาด 8.6mm PP (ฝาใหญ่ทรงเพชร ทนความร้อนสูง)","Plastic Spout SM18-PP 8.6mm PP (ฝาใหญ่ทรงเพชร ทนความร้อนสูง)","ฝาจุกติดซองพลาสติก SM18-PP ขนาด 8.6mm PP (ฝาใหญ่ทรงเพชร ทนความร้อนสูง)","Plastic Spout SM18-PP 8.6mm PP (ฝาใหญ่ทรงเพชร ทนความร้อนสูง)","จุกซอง | รับผลิต | OEM | โรงงาน","Spout Caps | OEM | manufacturer | supplier","filled","missing","filled","0","High","content_th | content_en | faq_items | focus_keyword_th | focus_keyword_en","สรุปจุดเด่น + วัสดุ/ขนาด + การใช้งาน + กลุ่มสินค้า/อุตสาหกรรมที่เหมาะ + CTA สอบถามราคา","Explain features, size/material, applications, suitable industries, and B2B enquiry angle"
